,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,polarity
0,1317162717791354881,1317162717791354881,2020-10-16 17:57:18 UTC,2020-10-16,17:57:18,0,66324459,__lewica,Lewica,,#LewicawMediach: @MarcinKulasek jutro o godz. 10:06 w @PolskieRadio24 https://t.co/7KfruikMm1,pl,"[{'screen_name': 'marcinkulasek', 'name': 'marcin kulasek', 'id': '902228052'}, {'screen_name': 'polskieradio24', 'name': 'polskie radio 24', 'id': '2239021813'}]",[],['https://pbs.twimg.com/media/EkeAgm6WkAAq9pu.jpg'],0,1,5,['lewicawmediach'],[],https://twitter.com/__Lewica/status/1317162717791354881,False,0,1,https://pbs.twimg.com/media/EkeAgm6WkAAq9pu.jpg,,,,,,,[],,,,,0.0
1,1317162572475412480,1317162572475412480,2020-10-16 17:56:43 UTC,2020-10-16,17:56:43,0,66324459,__lewica,Lewica,,"RT @KarolinaPawli15: Presja ma sens, częściowe zwycięstwo ale nie zatrzymujemy się w walce o #uwalnianiepływania, dziękuję wszystkim za wie…",pl,"[{'screen_name': 'karolinapawli15', 'name': 'karolina pawliczak', 'id': '1167771546984812545'}]",[],[],0,2,0,['uwalnianiepływania'],[],https://twitter.com/__Lewica/status/1317162572475412480,True,https://twitter.com/SPORT_GOV_PL/status/1317146236907065348?s=19,0,,,,,1.1677715469848125e+18,"Presja ma sens, częściowe zwycięstwo ale nie zatrzymujemy się w walce o #uwalnianiepływania, dziękuję wszystkim za wiele pozytywnych głosów i dzisiejszą akcję 👍
@__Lewica #ZawszeBliskoLudzi 
https://t.co/6BK8AmlrKr",1.3171619304952668e+18,[],2020-10-16 17:54:10 UTC,,,,1.0
2,1317160479417040897,1317160479417040897,2020-10-16 17:48:24 UTC,2020-10-16,17:48:24,0,66324459,__lewica,Lewica,,#LewicawMediach: @KGawkowski jutro o godz. 9:07 w #Śniadaniew3 @RadiowaTrojka https://t.co/5rKu50BwPU,pl,"[{'screen_name': 'kgawkowski', 'name': 'krzysztof gawkowski', 'id': '190298914'}, {'screen_name': 'radiowatrojka', 'name': 'trójka – program 3 polskiego radia', 'id': '1068263263'}]",[],['https://pbs.twimg.com/media/Ekd-eUkW0AE251l.jpg'],1,2,6,"['lewicawmediach', 'śniadaniew3']",[],https://twitter.com/__Lewica/status/1317160479417040897,False,0,1,https://pbs.twimg.com/media/Ekd-eUkW0AE251l.jpg,,,,,,,[],,,,,0.0
3,1317160352782667780,1317160352782667780,2020-10-16 17:47:54 UTC,2020-10-16,17:47:54,0,66324459,__lewica,Lewica,,RT @PolaMatysiak: Dziś kilka słów o transporcie publicznym w czasie pandemii. Ostatnie obostrzenia ograniczają liczbę osób w zbiorkomie do…,pl,"[{'screen_name': 'polamatysiak', 'name': 'paulina matysiak', 'id': '1139785801'}]",[],[],0,8,0,[],[],https://twitter.com/__Lewica/status/1317160352782667780,True,0,0,,,,,1139785801.0,Dziś kilka słów o transporcie publicznym w czasie pandemii. Ostatnie obostrzenia ograniczają liczbę osób w zbiorkomie do 50% miejsc siedzących bądź do 30% wszystkich miejsc (siedzących i stojących).,1.317151891277697e+18,[],2020-10-16 17:14:17 UTC,,,,0.0
4,1317160211917000716,1317160211917000716,2020-10-16 17:47:20 UTC,2020-10-16,17:47:20,0,66324459,__lewica,Lewica,,"RT @Lewica_News: GAWKOWSKI: Kiedy nawoływaliśmy, żeby nie otwierać pochopnie szkół, bo może być wielka transmisja wirusa, to słyszeliśmy: ""…",pl,"[{'screen_name': 'lewica_news', 'name': 'lewica news 🗞️📻📺', 'id': '1189027237498150912'}]",[],[],0,7,0,[],[],https://twitter.com/__Lewica/status/1317160211917000716,True,0,0,,,,,1.189027237498151e+18,"GAWKOWSKI: Kiedy nawoływaliśmy, żeby nie otwierać pochopnie szkół, bo może być wielka transmisja wirusa, to słyszeliśmy: ""przesadzacie"".
- Kiedy dziś widać wyraźnie, że to bezobjawowe dzieciaki są największym źródłem transmisji, premier mówi: ""poczekajmy.""
https://t.co/vtQXDdGWSu https://t.co/W8cEO7FYXW",1.3170449799451443e+18,[],2020-10-16 10:09:27 UTC,,,,-1.0
5,1317150189791084547,1317150189791084547,2020-10-16 17:07:31 UTC,2020-10-16,17:07:31,0,66324459,__lewica,Lewica,,#LewicawMediach: @AgaBak jutro o 9:00 na antenie @Radio_TOK_FM https://t.co/CnrmUnziaT,pl,"[{'screen_name': 'agabak', 'name': 'a. dziemianowicz-bąk', 'id': '47887653'}, {'screen_name': 'radio_tok_fm', 'name': 'radio tok fm', 'id': '43064962'}]",[],['https://pbs.twimg.com/media/Ekd1HQpXIAA9G0l.jpg'],4,1,6,['lewicawmediach'],[],https://twitter.com/__Lewica/status/1317150189791084547,False,0,1,https://pbs.twimg.com/media/Ekd1HQpXIAA9G0l.jpg,,,,,,,[],,,,,0.0
6,1317146520140075010,1317146520140075010,2020-10-16 16:52:56 UTC,2020-10-16,16:52:56,0,66324459,__lewica,Lewica,,"RT @MarcinKulasek: ✅ Miło mi poinformować, że zostałem dziś wybrany na Przewodniczącego Zespołu ds. Walki z Otyłością.

Do prezydium weszli…",pl,"[{'screen_name': 'marcinkulasek', 'name': 'marcin kulasek', 'id': '902228052'}]",[],[],0,7,0,[],[],https://twitter.com/__Lewica/status/1317146520140075010,True,0,0,,,,,902228052.0,"✅ Miło mi poinformować, że zostałem dziś wybrany na Przewodniczącego Zespołu ds. Walki z Otyłością.

Do prezydium weszli  @GabrielaMorStan i @ArturDziambor. Sekretarzem zespołu została @KUeberhan. 

Celem zespołu jest promocja zdrowego stylu życia i wsparcie leczenia otyłości. https://t.co/x3hFDJQtdO",1.317145691408552e+18,[],2020-10-16 16:49:38 UTC,,,,0.0
7,1317136352530542592,1317136352530542592,2020-10-16 16:12:32 UTC,2020-10-16,16:12:32,0,66324459,__lewica,Lewica,,"RT @B_Maciejewska: 💬 Partie polityczne mają różne strategie funkcjonowania. @Platforma_org dostosowuje się do sytuacji, a @__Lewica broni s…",pl,"[{'screen_name': 'b_maciejewska', 'name': 'beata maciejewska #posłankalewicy💃🏻', 'id': '1126342838'}, {'screen_name': 'platforma_org', 'name': 'platformaobywatelska', 'id': '53003895'}, {'screen_name': '__lewica', 'name': 'lewica', 'id': '66324459'}]",[],[],0,2,0,[],[],https://twitter.com/__Lewica/status/1317136352530542592,True,0,0,,,,,1126342838.0,"💬 Partie polityczne mają różne strategie funkcjonowania. @Platforma_org dostosowuje się do sytuacji, a @__Lewica broni swoich wartości - w @PolskieRadio24. 

#MaciejewskaWMediach #Wiosna #Lewica",1.317084655988953e+18,[],2020-10-16 12:47:06 UTC,,,,0.0
8,1317136331005374464,1317136331005374464,2020-10-16 16:12:27 UTC,2020-10-16,16:12:27,0,66324459,__lewica,Lewica,,RT @B_Maciejewska: 💬W @PolskiSenat @__Lewica głosowała jako jedyna za projektem w oryginalnym kształcie. Nawet senatorowie @pisorgpl głosow…,pl,"[{'screen_name': 'b_maciejewska', 'name': 'beata maciejewska #posłankalewicy💃🏻', 'id': '1126342838'}, {'screen_name': 'polskisenat', 'name': 'senat rp  🇵🇱', 'id': '756422561584541696'}, {'screen_name': '__lewica', 'name': 'lewica', 'id': '66324459'}, {'screen_name': 'pisorgpl', 'name': 'prawo i sprawiedliwość', 'id': '15877628'}]",[],[],0,2,0,[],[],https://twitter.com/__Lewica/status/1317136331005374464,True,0,0,,,,,1126342838.0,💬W @PolskiSenat @__Lewica głosowała jako jedyna za projektem w oryginalnym kształcie. Nawet senatorowie @pisorgpl głosowali przeciw projektowi prezesa Kaczyńskiego - w @PolskieRadio24,1.3170829880946442e+18,[],2020-10-16 12:40:29 UTC,,,,0.0
9,1317119986503196672,1317119986503196672,2020-10-16 15:07:30 UTC,2020-10-16,15:07:30,0,66324459,__lewica,Lewica,,"RT @AgaBak: Za tydzień kontrolowany przez władzę TK, na wniosek 119 posłów prawicy wyda #WyrokNaKobiety i de facto całkowicie zakaże przery…",pl,"[{'screen_name': 'agabak', 'name': 'a. dziemianowicz-bąk', 'id': '47887653'}]",[],[],0,50,0,['wyroknakobiety'],[],https://twitter.com/__Lewica/status/1317119986503196672,True,0,0,,,,,47887653.0,"Za tydzień kontrolowany przez władzę TK, na wniosek 119 posłów prawicy wyda #WyrokNaKobiety i de facto całkowicie zakaże przerywania ciąży.

Dziś, na sejmowej komisji na ten temat, z tych 119 posłów pojawił się jeden. Zdalnie.

[Całość wypowiedzi na kom.:
https://t.co/DzWU9SfQ42] https://t.co/Fl8ZkJHJUH",1.3171168119981015e+18,[],2020-10-16 14:54:53 UTC,,,,-1.0
